N_wppm,region,cooling,classC_index,classA_index,waste_class,C14_Ci_m3,Nb94_Ci_m3,Ni63_Ci_m3,Mn53_Ci_m3,Zr93_Ci_m3,top_classC
50,FW,1yr,0.071867660400424,2.6917515835502774,Class C,0.8664985409895613,0.011656013688846932,3.493238530163323,1.0238682717563828e-09,0.000270335094005583,Nb94:0.058;C14:0.011;Tc99:0.002;Ni63:0.000
50,FW,10yr,0.07180799034001584,2.629710047103404,Class C,0.8655507248728481,0.011652432267300394,3.2844057730440683,1.0238665454796724e-09,0.0002703339917600839,Nb94:0.058;C14:0.011;Tc99:0.002;Ni63:0.000
50,FW,100yr,0.07129477635917342,2.1806493568182983,Class C,0.8561293990712824,0.011616678519509167,1.7731376747255767,1.0238492828726395e-09,0.00027032296955227015,Nb94:0.058;C14:0.011;Tc99:0.002;Ni63:0.000
50,FW,1000yr,0.06816718602215342,1.5460301008214645,Class C,0.7673761094269737,0.011265119616632393,0.003729056512962139,1.0236766728093065e-09,0.00027021277218831013,Nb94:0.056;C14:0.010;Tc99:0.002;Ni59:0.000
50,BLK_front,shutdown,0.13425418387928442,3.2660397723724497,Class C,0.9675762482748503,0.023931923774507622,2.928090732093258,7.320909360200287e-10,0.00019483941216261492,Nb94:0.120;C14:0.012;Tc99:0.002;Ni63:0.000
50,BLK_front,1d,0.13425731953112002,3.266054988262199,Class C,0.9675759261336457,0.023932055906406385,2.928035824443557,7.320909752517224e-10,0.00019483942807453262,Nb94:0.120;C14:0.012;Tc99:0.002;Ni63:0.000
50,BLK_front,1wk,0.13426415339740755,3.266026489059105,Class C,0.9675739932886624,0.023932042482759344,2.9277063984922047,7.32090972998779e-10,0.00019483943054078955,Nb94:0.120;C14:0.012;Tc99:0.002;Ni63:0.000
50,BLK_front,1mo,0.13426558789313753,3.26566972354211,Class C,0.9675665840853315,0.023931991025515312,2.9264439423219915,7.320909643624978e-10,0.00019483942498261893,Nb94:0.120;C14:0.012;Tc99:0.002;Ni63:0.000
50,BLK_front,1yr,0.13425786637900233,3.260201373324035,Class C,0.9674585933336951,0.023931240992811076,2.9081039489772995,7.320908384793048e-10,0.00019483934396311272,Nb94:0.120;C14:0.012;Tc99:0.002;Ni63:0.000
50,BLK_front,10yr,0.13418296410078392,3.2083511897770673,Class C,0.9664003424496643,0.02392388789041993,2.7342517025846313,7.320896041492655e-10,0.000194838549538731,Nb94:0.120;C14:0.012;Tc99:0.002;Ni63:0.000
50,BLK_front,100yr,0.13350400152219793,2.8302791965065968,Class C,0.9558812911458829,0.023850481014138815,1.4761284204971805,7.320772609633247e-10,0.0001948306054730619,Nb94:0.119;C14:0.012;Tc99:0.002;Ni63:0.000
50,BLK_front,1000yr,0.12843895362131164,2.249157357682154,Class C,0.8567869145356686,0.023128687006985008,0.0031044212634393714,7.319538405493116e-10,0.00019475118262868616,Nb94:0.116;C14:0.011;Tc99:0.002;Ni59:0.000
50,BLK_mid,shutdown,0.15707044949423837,2.899175168205601,Class C,0.7144839009594051,0.02926516205228323,1.843608207515391,1.3847953215327544e-10,9.850776300569575e-05,Nb94:0.146;C14:0.009;Tc99:0.001;Ni63:0.000
